missing_in_v2	./components/SystemEssence.tsx	0	0
missing_in_v2	./components/VoiceSelectionModal.tsx	0	0
missing_in_v2	./components/WhyDifferentCard.tsx	0	0
missing_in_v2	./config/cosmicSystems.ts	0	0
missing_in_v2	./config/features.ts	0	0
missing_in_v2	./config/products.ts	0	0
missing_in_v2	./constants/products.ts	0	0
missing_in_v2	./data/cities.ts	0	0
missing_in_v2	./data/sampleMatches.ts	0	0
missing_in_v2	./data/systems.ts	0	0
missing_in_v2	./hooks/useArtifactSync.ts	0	0
missing_in_v2	./hooks/useAudioPlayer.ts	0	0
missing_in_v2	./hooks/useHookReadingsAutoSave.ts	0	0
missing_in_v2	./hooks/useSupabaseDeepLink.ts	0	0
missing_in_v2	./hooks/useTextAutoScroll.ts	0	0
missing_in_v2	./hooks/useUpsell.ts	0	0
missing_in_v2	./screens/home/AudioPlayerScreen.tsx	0	0
missing_in_v2	./screens/home/ChartCalculationScreen.tsx	0	0
missing_in_v2	./screens/home/CompleteReadingScreen.tsx	0	0
missing_in_v2	./screens/home/DeepReadingReaderScreen.tsx	0	0
missing_in_v2	./screens/home/ExtendedPromptScreen.tsx	0	0
missing_in_v2	./screens/home/ExtendedReadingScreen.tsx	0	0
missing_in_v2	./screens/home/FullReadingRedirectScreen.tsx	0	0
missing_in_v2	./screens/home/FullReadingScreen.tsx	0	0
missing_in_v2	./screens/home/HowMatchingWorksScreen.tsx	0	0
missing_in_v2	./screens/home/libraryJobs.ts	0	0
missing_in_v2	./screens/home/MatchDetailScreen.tsx	0	0
missing_in_v2	./screens/home/MatchesScreen.tsx	0	0
missing_in_v2	./screens/home/OverlayReaderScreen.tsx	0	0
missing_in_v2	./screens/home/PersonJobsListScreen.tsx	0	0
missing_in_v2	./screens/home/PersonReadingChaptersFlowScreen.tsx	0	0
missing_in_v2	./screens/home/ReadingChapterScreen.tsx	0	0
missing_in_v2	./screens/home/ReadingOverviewScreen.tsx	0	0
missing_in_v2	./screens/home/ReadingSummaryScreen.tsx	0	0
missing_in_v2	./screens/home/SavedReadingScreen.tsx	0	0
missing_in_v2	./screens/home/SystemOverviewScreen.tsx	0	0
missing_in_v2	./screens/learn/WhyDifferentScreen.tsx	0	0
missing_in_v2	./screens/onboarding/CurrentCityScreen.tsx	0	0
missing_in_v2	./screens/onboarding/FreeReadingSelectionScreen.tsx	0	0
missing_in_v2	./screens/onboarding/NameInputScreen.tsx	0	0
missing_in_v2	./screens/onboarding/OnboardingCompleteScreen.tsx	0	0
missing_in_v2	./screens/premium/PurchaseScreen.tsx	0	0
missing_in_v2	./screens/social/ChatListScreen.tsx	0	0
missing_in_v2	./screens/social/ChatScreen.tsx	0	0
missing_in_v2	./screens/social/MatchRevealScreen.tsx	0	0
missing_in_v2	./screens/statements/ReadyToMatchScreen.tsx	0	0
missing_in_v2	./screens/statements/WelcomeBackScreen.tsx	0	0
missing_in_v2	./scripts/generate-cleanup.js	0	0
missing_in_v2	./scripts/importPeopleToStore.ts	0	0
missing_in_v2	./scripts/inspect-user-profiles.ts	0	0
missing_in_v2	./scripts/sync-local-people-to-supabase.ts	0	0
missing_in_v2	./services/artifactCacheService.ts	0	0
missing_in_v2	./services/audioDownload.ts	0	0
missing_in_v2	./services/backgroundReadings.ts	0	0
missing_in_v2	./services/coupleImageService.ts	0	0
missing_in_v2	./services/geneKeys.ts	0	0
missing_in_v2	./services/humanDesign.ts	0	0
missing_in_v2	./services/kabbalah.ts	0	0
missing_in_v2	./services/libraryCloud.ts	0	0
missing_in_v2	./services/localReadings.ts	0	0
missing_in_v2	./services/nuclearReadingsService.ts	0	0
missing_in_v2	./services/profileSync.ts	0	0
missing_in_v2	./services/profileUpsert.ts	0	0
missing_in_v2	./services/pushNotifications.ts	0	0
missing_in_v2	./services/realtimeArtifactSync.ts	0	0
missing_in_v2	./services/revenuecat.ts	0	0
missing_in_v2	./services/vedic.ts	0	0
missing_in_v2	./store/syncStore.ts	0	0
missing_in_v2	./theme/typography.ts	0	0
missing_in_v2	./utils/architectureDebugger.ts	0	0
missing_in_v2	./utils/audioTimeEstimator.ts	0	0
missing_in_v2	./utils/fileNames.ts	0	0
missing_in_v2	./utils/fileSystem.ts	0	0
missing_in_v2	./utils/format.ts	0	0
missing_in_v2	./utils/removeIncorrectUserProfile.ts	0	0
missing_in_v2	./utils/url.ts	0	0
new_in_v2	./screens/.DS_Store	0	0
new_in_v2	./screens/home/GeneratingReadingScreen.tsx	0	0
new_in_v2	./screens/home/ReadingContentScreen.tsx	0	0
new_in_v2	./services/jobArtifacts.ts	0	0
